name,"Number of Reviews, Minimum Nights Correl",minNights,Total Reviews
Hotel Perks - Private Bedroom | Private Bathroom,2847.0,1,2847
Traveler's Dream - 1 bed in a shared bedroom,1139.0,1,1139
"SHARED Artist Loft, Private Room",800.0,1,800
Hip Chicago Apartment - FREE Parking Spot Included,644.0,1,644
Industrial Style Chicago Loft with FREE parking,640.0,1,640
Modern Chicago Loft with a Complimentary Garage Spot,619.0,1,619
SHARED Artist Loft . Very Unique,618.0,1,618
Great location. Free parking.,607.0,1,607
Godfrey Hotel Lifestyle Rooftop 4.5*-King Deluxe,573.0,1,573
Quadruple Room: Perfect for Friends,562.0,1,562
Urban Farm Fun!  Walk to Metra/CTA,522.0,1,522
Traveler's Dream - 1 bed in a shared bedroom,512.0,1,512
"Teal Room - King Bed, near CTA, 20min to Downtown",488.0,1,488
Female Only  - 1 Bed in a Shared Bedroom,486.0,1,486
Great Location! Gold Coast! 07,480.0,1,480
Cozy and Stylish Studio with Free Parking in Irving Park,474.0,1,474
#1 neighborhood in Chicago w/ private balcony,472.0,1,472
Explore Chicago from an Urban Sanctuary with Free Parking,470.0,1,470
Great Place Garfield Park 3 Bedroom,468.0,1,468
"Garden Room - King Bed, Sofa Bed, 1 Block to Train",463.0,1,463
The Blue Room,455.0,1,455
"Unique, Handcrafted Art Gallery Condo in River West Chicago",453.0,1,453
Great Location Studio III,447.0,1,447
Stunning Chicago Loft Near Wrigley Field,433.0,1,433
Urban Comfort in the Heart of Chicago,432.0,1,432
Enjoy Chicago’s Nightlife from Studio Apartment,429.0,1,429
"Celestial Room - 20 Min to Downtown, Free parking",425.0,1,425
Walk to Lake Michigan From a Contemporary Uptown Haven,424.0,1,424
"South Loop 2 bedroom, bathroom, free parking, WiFi",421.0,1,421
Chicago Speakeasy-Style Loft Space (Room 1A),419.0,1,419
2 Bedrooms- Comfy Chicago Basement disinfected!,415.0,1,415
"Egyptian Room - Free Parking, 1 block to CTA",415.0,1,415
"""Wine"" Room - 1 block from train, Victorian Charm",411.0,1,411
"Cute Designer Touch Minimal Loft,Blue Line",408.0,1,408
Stunning Retro Apartment in Andersonville,407.0,1,407
Cute Brownstone in Lakeview,407.0,1,407
Great Location!!-12,404.0,1,404
"Green Room, Free Parking, King Bed, 1 Block to CTA",400.0,1,400
Great Location Studio II,395.0,1,395
Wrigley Hostel - 10 Bed Shared Room,394.0,1,394
Logan Square Lookout,385.0,1,385
"Feel at Home in Chicago, with Parking, Steps from Evanston",382.0,1,382
"Florence Room - 3min to CTA, Free Parking, Roomy",379.0,1,379
Fully Furnished Apartment Wicker Park Free Parking,376.0,1,376
Sleek and cool garden loft in East Lakeview,376.0,1,376
Downtown Lakeview Penthouse w/ private balcony 04,376.0,1,376
Stay in a Designer Penthouse with Art Gallery,370.0,1,370
Private room w/bath in urban canopy,369.0,1,369
"Spacious Studio, Amazing Location!",367.0,2,734
Sleek Wrigleyville/Boystown Condo with Rooftop Skyline Views,356.0,1,356
"Staypineapple Chicago, Deluxe King",352.0,1,352
Premium Quad Room:  Great for Families or Friends,350.0,1,350
Clean & Bright Chicago Condo - FREE Parking Spot,344.0,1,344
Standard Double Room,336.0,1,336
"Polk Street Coach House Apartment, Little Italy/Medical Dist",332.0,2,665
The Red Room,332.0,1,332
Hot Tub Heaven (Very private room in shared home),328.0,1,328
Chicago Speakeasy-Style Loft Suite (Room 1B),321.0,1,321
"Lincoln Park Studio, Great Value!",321.0,2,643
"Lovely, bright, 3-bedroom Avondale flat. Private.",317.0,1,317
Spacious Old Town Loft in a Great Location.,315.0,1,315
R1 Lincoln Park/ Lakeshore / Lakeview / Zoo Studio,312.0,1,312
"Modern, Open, Logan Square Loft w/ Unique Design",312.0,1,312
"Vintage Airline  - Close to Train, Full Size Bed",311.0,1,311
Center of Lincoln Park/Depaul/Wrigley+ parking!,309.0,1,309
"A+ location by Mag Mile, views, large sunny room",304.0,1,304
"★2BR WICKER PARK★ Near groceries, train, nightlife",301.0,1,301
Trendy Living in Chicago's Coolest Airbnb Art Gallery Condo,301.0,1,301
Pro Cleaned & Isolated West Loop Coach House,300.0,1,300
"Lively Wicker Park 2BR, Steps to Damen Blue Line",299.0,1,299
Chicago Speakeasy-Style Loft Space (Room 4A),295.0,1,295
“Wrigleyville” 75 yards from Wrigley Field,293.0,1,293
"Privacy in safe, high-tech smarthouse - New bed!",285.0,1,285
Loft Style Private Apt (1 Room- 420 Friendly),285.0,1,285
Great Location Studio in the Gold Coast!!,284.0,1,284
Urban Farm Fun 2!,280.0,1,280
"Wicker Shops, Eats, Bars | Outdoor Patio | Zencity",273.0,1,273
OHC Gorgeous Huge Studio Apt Steps to Blue Line,273.0,1,273
Peaceful Portage Park Apartment,272.0,1,272
Vintage Bridgeport Apartment,272.0,1,272
"Private Room in a  plant filled, two cat space!",272.0,1,272
Heart of Chicago/ Pilsen Garden Studio,272.0,2,544
"Studio, Steps from Wrigley Field",269.0,1,269
Bright 2BR Apt w/ Private Entrance & Laundry,265.0,1,265
Cozy Home and Garden,262.0,1,262
Spacious Apartment In Safe Neighborhood,260.0,1,260
Modern and super cozy studio in Humboldt Park,260.0,1,260
Bucktown - Great Northside Location,260.0,1,260
Fantastic Guest room in Chinatown!  ️,256.0,1,256
Comfy 2 BR West Town Apartment,254.0,1,254
