Average Price,Neighborhood
217.103896103896,Norwood Park
343.894454382826,Lake View
128.857142857143,West Pullman
162.457627118644,South Deering
171.361111111111,Jefferson Park
162.041666666667,North Center
159.375,Mount Greenwood
133.626506024096,Gage Park
175.98275862069,Portage Park
156.32,Hermosa
192.639423076923,Logan Square
107.75,Belmont Cragin
145.87323943662,Douglas
448.1125,Austin
153.684210526316,Greater Grand Crossing
225.483050847458,Loop
124.565217391304,West Garfield Park
144.325581395349,Ohare
160.928571428571,North Park
196.054545454545,Brighton Park
155.376623376623,Grand Boulevard
187.225806451613,Chatham
155.514285714286,West Elsdon
141.471698113208,Garfield Ridge
116.176470588235,Roseland
136.425742574257,Humboldt Park
160.879310344828,Oakland
197.216049382716,Woodlawn
159.388888888889,Mckinley Park
209.12925170068,Lincoln Park
124.872727272727,Albany Park
133.380952380952,Pullman
94.5432098765432,Uptown
146.589285714286,Avondale
117.553191489362,South Lawndale
125.890625,Montclare
107.294117647059,West Englewood
102.294117647059,East Garfield Park
94.625,Avalon Park
341.67955801105,North Lawndale
213.252873563218,Clearing
141.74025974026,New City
160.796460176991,Calumet Heights
216.158959537572,West Town
107.544444444444,Rogers Park
165.0,Armour Square
161.16,Ashburn
165.74358974359,Chicago Lawn
142.182795698925,Edgewater
99.0238095238095,Washington Heights
141.25,Edison Park
2104.51219512195,Dunning
146.658536585366,East Side
113.409090909091,West Lawn
256.65,Washington Park
149.113636363636,Morgan Park
104.035714285714,Auburn Gresham
139.729166666667,Fuller Park
169.2,South Shore
137.875,Beverly
193.423076923077,Near South Side
192.718232044199,Archer Heights
188.70796460177,Kenwood
196.274881516588,Hyde Park
146.867088607595,West Ridge
159.306451612903,South Chicago
204.221945137157,Near North Side
182.676616915423,Near West Side
131.788461538462,Burnside
125.089887640449,Lower West Side
126.681818181818,Forest Glen
157.276595744681,Lincoln Square
104.090909090909,Hegewisch
130.692307692308,Irving Park
78.2424242424243,Englewood
84.2736842105263,Bridgeport
