Number Of Listings,Neighborhood
77,Norwood Park
559,Lake View
21,West Pullman
59,South Deering
108,Jefferson Park
48,North Center
40,Mount Greenwood
83,Gage Park
174,Portage Park
75,Hermosa
208,Logan Square
56,Belmont Cragin
71,Douglas
160,Austin
114,Greater Grand Crossing
236,Loop
23,West Garfield Park
43,Ohare
56,North Park
55,Brighton Park
77,Grand Boulevard
31,Chatham
35,West Elsdon
53,Garfield Ridge
51,Roseland
101,Humboldt Park
58,Oakland
162,Woodlawn
108,Mckinley Park
147,Lincoln Park
110,Albany Park
105,Pullman
162,Uptown
112,Avondale
47,South Lawndale
64,Montclare
68,West Englewood
85,East Garfield Park
32,Avalon Park
181,North Lawndale
87,Clearing
77,New City
113,Calumet Heights
346,West Town
90,Rogers Park
83,Armour Square
25,Ashburn
39,Chicago Lawn
93,Edgewater
42,Washington Heights
32,Edison Park
41,Dunning
41,East Side
44,West Lawn
40,Washington Park
44,Morgan Park
28,Auburn Gresham
48,Fuller Park
75,South Shore
88,Beverly
260,Near South Side
181,Archer Heights
113,Kenwood
211,Hyde Park
158,West Ridge
124,South Chicago
401,Near North Side
201,Near West Side
52,Burnside
89,Lower West Side
44,Forest Glen
47,Lincoln Square
33,Hegewisch
52,Irving Park
33,Englewood
95,Bridgeport
