Neighborhood Name,Listing ID,Listing,Average Score
Norwood Park,736925559450407854,Cozy and Convenient Lrg 1bd O'Hare Escape,7
Lake View,773214911162646829,Convenient Location / Private Room (Queen Bed),1
West Pullman,50006562,PEACEFUL PLACE,5
South Deering,49394347,"Entire unit | Quaint Garden Unit
(basement.unit)",10
Jefferson Park,751281751843148152,Home Base 2.0 Near O'Hare and Rosemont,1
North Center,714557756938037455,"Home w/ 1BR, Kitchen & Wi-Fi near Shops & Dining",8
Mount Greenwood,608103066316430821,Boho Chic Coach House 30Min to downtown W/ Parking,39
Gage Park,727480014968687900,Loft next to Train ( Cta )  and on sight parking,3
Portage Park,776720213781738532,House in Portage Park,1
Hermosa,665791266661725998,"Light filled, 2-bedroom, historic, remodeled",3
Logan Square,757256633941807830,Lofted 2nd Floor Apartment with Spiral Staircase,5
Belmont Cragin,745634270816918956,Spacious 1 Bd Private Apartment W/ Selfcheck-in,1
Douglas,747263006794770180,Bronzeville 4 Bedroom Loft Near Sox Stadium,2
Austin,755799299983052667,Prince’s Quarters: Chicago home for bedroom price.,1
Greater Grand Crossing,745949202271858960,Relaxing Private 1 bedroom - Chicago,1
Loop,770973493232809347,Cityscape Condo w/ Bowling Alley,1
West Garfield Park,674610280616274959,Mark Twain's Room,9
Ohare,709972473767015001,Lovely 1 bedroom near O'Hare and Rosemont.,8
North Park,758978504649386213,New Construction 3 Bed Condo W/Parking & Laundry,1
Brighton Park,719427003992225703,"Nice, clean, warm and cozy! Enjoy the “Morgan Hut”",4
Grand Boulevard,770523073506526538,Fun & Private Chicago Speakeasy!,1
Chatham,747134641109606547,Cozy 1 bedroom in the heart of Chicago,2
West Elsdon,41300438,Large four bedroom freshly remodeled apartment,95
Garfield Ridge,675147189760427740,"⭐️ Mario's Pad ⭐️  Arcade, Spa, Pool.",19
Roseland,718870068190815628,Entire Apartment Unit in Roseland Neighborhood,2
Humboldt Park,754824131030213266,Amazing 3BR Condo With Free Parking,2
Oakland,678151695599668865,NEW! Lake & Skyline View  - Bronzeville Culdesac!,8
Woodlawn,732079761244456815,Lovely 3 Bedroom Near University,1
Mckinley Park,753768081593665503,Pueblo Magíco: Modern-rustic central city gem,1
Lincoln Park,751354546083978515,"Beautiful, Remodeled Penthouse Unit in Old Town!",4
Albany Park,758100116432638125,Charming cozy room with style perfect location,1
Pullman,50526328,Large Executive Row house in Historic Pullman,17
Uptown,772494986203599547,Uptown Modern Minimalist Studio,1
Avondale,776735078750935278,The Elston Casita,1
South Lawndale,733942141340524041,cozy unit 10 mins from downtown,1
Montclare,700938257605355958,Cozy & Bright Townhome near O’hare -Self Check In-,14
West Englewood,647980487041005138,Historic 2 bedroom Condo in Chicago,11
East Garfield Park,751379612278165352,Cozy 2 brm apartment mins away from United Center,2
Avalon Park,47740507,Entire place steps from the Pink Line,65
North Lawndale,731649934107450938,Chic Green | 5 miles to DT | Sleeps 8,5
Clearing,692075993209327711,Charming Private Room #2 in Chrysler Chicago,5
New City,691839303832373241,"Canaryville & Chill, 10 min from Downtown & Beach",11
Calumet Heights,711614204226516428,Warm relaxing and peaceful 4 bed home. 2 bathrooms,9
West Town,774729726589280791,West Town Beauty,1
Rogers Park,768181481417991009,"Comfortable 2-Bedroom, 1-Bathroom Rogers Park Apt",1
Armour Square,758789605632452889,Homey Chinatown Condo by McCormick&Downtown,2
Ashburn,588227833007637037,"Peaceful Family Home near Downtown, MDW, Free Park",44
Chicago Lawn,668932652455639020,Cozy 2 bdrm w/ patio mins from Midway Airport,16
Edgewater,754352717808596712,Lovely Apartment on Quaint Block in Andersonville,1
Washington Heights,52970315,"Beautiful 4 bed, 2ba home, peaceful , no chores!",35
Edison Park,50020159,Gorgeous apartment near O'Hare,12
Dunning,729110103600222667,Cozy Vintage Modern 1bd Apt in Chicago,11
East Side,745908537810678486,3.Private Room,1
West Lawn,675559012224578692,Lovely 3 bedroom apartment safe and clean,1
Washington Park,714608964612479813,Romantic 3 Bed Home In the Heart of the Park,1
Morgan Park,680190061000659755,Lovely 2 bedroom Boutique Suite in Beverly.,12
Auburn Gresham,672520701792298609,Bienvenidos! Home Away from Home,14
Fuller Park,594937541144766707,SPACIOUS & MODERN 3 BR HOME | WI-Fi | FREE PARKING,10
South Shore,744972169594502283,Chicago Rental - Cornell Ave,1
Beverly,752378823115061204,Cozy 10249,2
Near South Side,777496291747246525,McCormick Place Spacious 3b/2b,1
Archer Heights,697740501300792220,Heart of Midway in Chicago - 2bed 2bath,11
Kenwood,765213311537655730,Classic Hp 1 Br with Fast Transit to UChicago Dt,1
Hyde Park,760985260337363062,Spacious 1-bedroom garden apartment & parking,3
West Ridge,766499608228095208,"Clean modern apt w/ parking, laundry",4
South Chicago,756864129367543529,Spacious 3 Level Home with 5 BDR/3 BA & 2 Kitchens,3
Near North Side,770376102705815314,Downtown Penthouse with Rooftop!,1
Near West Side,776148930155227757,Modern Luxe West Loop 1BR Apt w/ In unit Laundry,1
Burnside,53787470,🎟🍿RENOVATED CONDO 420✅ W MOVIE SCREEN 🎥,61
Lower West Side,772022042817683681,Charming retreat w/ firepit,1
Forest Glen,630537469029085072,"Lovely Large 3 Bedroom, w private work space.",1
Lincoln Square,753153971886698038,Warm rustic feels in vintage Chicago NorthsideApt,3
Hegewisch,760871361855873536,Newly renovated 3 bedroom brick bungalow!,2
Irving Park,757909334458349480,Spacious 2 Bed & 1 Bath Garden Unit,1
Englewood,736269020394606618,1st Red Line Stop Coach House Apartment,4
Bridgeport,764834629776020980,Near Chinatown & Downtown - 2min Walk to CTA,2
